client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
5f32b3b7de95628cddc9627e7664e8b19c11e86c980e29bb65d20031582fab11197f90e2dedfaefa484dff435655c9372f228d0a5d0f2b0125c6e1b0ded727e0	common_voice_ka_21356131.mp3	კათოლიკობას უმთავრესად ირლანდიელები მისდევენ.	2	0	twenties	female		ka	
5f32b3b7de95628cddc9627e7664e8b19c11e86c980e29bb65d20031582fab11197f90e2dedfaefa484dff435655c9372f228d0a5d0f2b0125c6e1b0ded727e0	common_voice_ka_21356129.mp3	გადაღებულია ამავე სახელწოდების მოთხრობის მიხედვით.	2	0	twenties	female		ka	
5f32b3b7de95628cddc9627e7664e8b19c11e86c980e29bb65d20031582fab11197f90e2dedfaefa484dff435655c9372f228d0a5d0f2b0125c6e1b0ded727e0	common_voice_ka_21356132.mp3	ტბას ერთვის მდინარე ყარაჩაი.	2	0	twenties	female		ka	
5f32b3b7de95628cddc9627e7664e8b19c11e86c980e29bb65d20031582fab11197f90e2dedfaefa484dff435655c9372f228d0a5d0f2b0125c6e1b0ded727e0	common_voice_ka_21356128.mp3	კარი გადახურულია შეისრული თაღით, რომელიც მოქცეულია აგურით გამოყვანილ, ოთხკუთხა არეში.	2	0	twenties	female		ka	
5f32b3b7de95628cddc9627e7664e8b19c11e86c980e29bb65d20031582fab11197f90e2dedfaefa484dff435655c9372f228d0a5d0f2b0125c6e1b0ded727e0	common_voice_ka_21356130.mp3	მიღებულია ახალგორის მუნიციპალიტეტის საკრებულოს მიერ.	2	0	twenties	female		ka	
5f32b3b7de95628cddc9627e7664e8b19c11e86c980e29bb65d20031582fab11197f90e2dedfaefa484dff435655c9372f228d0a5d0f2b0125c6e1b0ded727e0	common_voice_ka_21356165.mp3	ყველაზე პირველი ცნობილი ხელოვნური ბალისტიკური სხეულები იყვნენ ქვები, შუბები და სასროლი ჯოხები.	2	0	twenties	female		ka	
5f32b3b7de95628cddc9627e7664e8b19c11e86c980e29bb65d20031582fab11197f90e2dedfaefa484dff435655c9372f228d0a5d0f2b0125c6e1b0ded727e0	common_voice_ka_21356145.mp3	შედის ეკონომიკურ-სტატისტიკურ მიკრორეგიონ კამპუ-მორანის შემადგენლობაში.	2	1	twenties	female		ka	
5f32b3b7de95628cddc9627e7664e8b19c11e86c980e29bb65d20031582fab11197f90e2dedfaefa484dff435655c9372f228d0a5d0f2b0125c6e1b0ded727e0	common_voice_ka_21356146.mp3	მან აწარმოა შავიზღვისპირეთში დაპყრობები.	2	1	twenties	female		ka	
5f32b3b7de95628cddc9627e7664e8b19c11e86c980e29bb65d20031582fab11197f90e2dedfaefa484dff435655c9372f228d0a5d0f2b0125c6e1b0ded727e0	common_voice_ka_21356147.mp3	ამას ხაზს ქალაქის სხვა ელემენტების დასახელებაც უსვამს, რომელიც ასპარეზის მოედანთან იყო დაკავშირებული.	2	0	twenties	female		ka	
5f32b3b7de95628cddc9627e7664e8b19c11e86c980e29bb65d20031582fab11197f90e2dedfaefa484dff435655c9372f228d0a5d0f2b0125c6e1b0ded727e0	common_voice_ka_21356151.mp3	სიმპტომები ვარირებს სპეციფიკური დეფიციტის მიხედვით.	2	0	twenties	female		ka	
